Email ID,Asunto,Cuerpo del mensaje,Etiqueta
1024,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,spam
8701,Oferta limitada,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
9764,Oferta limitada,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
9570,Recordatorio de cita,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
3441,"Hola, ¿cómo estás?",¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
5049,"Hola, ¿cómo estás?",Recuerda que tienes una cita a las 3 PM mañana.,spam
9952,Oferta limitada,Confirmación de pago recibido. Gracias por tu compra.,ham
8773,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,ham
4916,Descuentos exclusivos,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
6275,Reunión importante,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,spam
8562,Gana dinero fácil,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
220,Descuentos exclusivos,La reunión será a las 10 AM el lunes.,spam
757,Descuentos exclusivos,Confirmación de pago recibido. Gracias por tu compra.,spam
1481,Reunión importante,Confirmación de pago recibido. Gracias por tu compra.,spam
2569,Descuentos exclusivos,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
3527,Descuentos exclusivos,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
1268,"Hola, ¿cómo estás?",Recuerda que tienes una cita a las 3 PM mañana.,spam
375,Recordatorio de cita,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
8412,Oferta limitada,Confirmación de pago recibido. Gracias por tu compra.,ham
4253,Reunión importante,Confirmación de pago recibido. Gracias por tu compra.,ham
2826,Oferta limitada,Confirmación de pago recibido. Gracias por tu compra.,ham
2257,Confirmación de pago,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
719,Recordatorio de cita,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
5116,"Hola, ¿cómo estás?",¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
3516,Reunión importante,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,spam
6491,Oferta limitada,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
1953,Gana dinero fácil,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
4051,Oferta limitada,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
6610,Reunión importante,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
7678,Confirmación de pago,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
531,"Hola, ¿cómo estás?",¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
5563,Reunión importante,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",spam
3393,Recordatorio de cita,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
9813,"Hola, ¿cómo estás?","Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",spam
279,Reunión importante,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
1462,Recordatorio de cita,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",spam
9517,Oferta limitada,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
5776,Confirmación de pago,Confirmación de pago recibido. Gracias por tu compra.,spam
5359,Confirmación de pago,Confirmación de pago recibido. Gracias por tu compra.,ham
7919,Oferta limitada,Confirmación de pago recibido. Gracias por tu compra.,spam
6953,Confirmación de pago,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
200,Gana dinero fácil,La reunión será a las 10 AM el lunes.,spam
1680,Reunión importante,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
8805,Gana dinero fácil,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",spam
3229,Reunión importante,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
5761,Oferta limitada,La reunión será a las 10 AM el lunes.,ham
9356,"Hola, ¿cómo estás?",Confirmación de pago recibido. Gracias por tu compra.,spam
446,Confirmación de pago,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
6311,Oferta limitada,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
2310,Confirmación de pago,Recuerda que tienes una cita a las 3 PM mañana.,spam
1160,Confirmación de pago,La reunión será a las 10 AM el lunes.,ham
7842,Confirmación de pago,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
3038,Descuentos exclusivos,La reunión será a las 10 AM el lunes.,spam
4062,Gana dinero fácil,La reunión será a las 10 AM el lunes.,ham
3259,Recordatorio de cita,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
7781,Confirmación de pago,Confirmación de pago recibido. Gracias por tu compra.,spam
7163,"Hola, ¿cómo estás?",Recuerda que tienes una cita a las 3 PM mañana.,spam
9152,Confirmación de pago,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,spam
5106,Descuentos exclusivos,La reunión será a las 10 AM el lunes.,spam
9867,Recordatorio de cita,Recuerda que tienes una cita a las 3 PM mañana.,ham
7743,Descuentos exclusivos,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,ham
581,Gana dinero fácil,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
7577,Confirmación de pago,La reunión será a las 10 AM el lunes.,spam
1346,Recordatorio de cita,"Hola, ¿cómo estás? Quería saludarte y saber si necesitas algo.",ham
2925,Confirmación de pago,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
3023,Reunión importante,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
5535,Descuentos exclusivos,La reunión será a las 10 AM el lunes.,spam
2960,"Hola, ¿cómo estás?",La reunión será a las 10 AM el lunes.,spam
6189,Descuentos exclusivos,Gana dinero desde casa con esta oferta exclusiva. ¡No te lo pierdas!,ham
1676,"Hola, ¿cómo estás?",La reunión será a las 10 AM el lunes.,spam
3884,"Hola, ¿cómo estás?",Recuerda que tienes una cita a las 3 PM mañana.,spam
2173,Gana dinero fácil,Confirmación de pago recibido. Gracias por tu compra.,spam
2512,Recordatorio de cita,¡Compra ahora y ahorra un 50%! No dejes pasar esta oferta.,spam
5205,Oferta limitada,La reunión será a las 10 AM el lunes.,spam
2283,Confirmación de pago,La reunión será a las 10 AM el lunes.,ham
1154,Reunión importante,¡Felicidades! Tu cuenta ha sido aprobada para el descuento de la semana.,ham
5635,Gana dinero fácil,Recuerda que tienes una cita a las 3 PM mañana.,spam
175,"Hola, ¿cómo estás?",Recuerda que tienes una cita a las 3 PM mañana.,spam
